BPS,EVT,ACRES
BPS  Hardwood-Conifer,EVT  Conifer,1395
BPS  Hardwood-Conifer,EVT  Conifer,7597
BPS  Hardwood-Conifer,EVT  Conifer,46
BPS  Hardwood-Conifer,EVT  Conifer,52
BPS  Hardwood-Conifer,EVT  Conifer,1335
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,79
BPS  Hardwood-Conifer,EVT  Conifer,1
BPS  Hardwood-Conifer,EVT  Hardwood,244
BPS  Hardwood-Conifer,EVT  Conifer,14
BPS  Hardwood-Conifer,EVT  Riparian,177
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,80
BPS  Hardwood-Conifer,EVT  Hardwood,91
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,93
BPS  Hardwood-Conifer,EVT  Hardwood,118
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,999
BPS  Hardwood-Conifer,EVT  Hardwood,7
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1
BPS  Hardwood-Conifer,EVT  Developed,452
BPS  Hardwood-Conifer,EVT  Developed,365
BPS  Hardwood-Conifer,EVT  Developed,492
BPS  Hardwood-Conifer,EVT  Developed,623
BPS  Hardwood-Conifer,EVT  Developed,112
BPS  Hardwood-Conifer,EVT  Developed,953
BPS  Hardwood-Conifer,EVT  Developed,617
BPS  Hardwood-Conifer,EVT  Developed,607
BPS  Hardwood-Conifer,EVT  Developed,127
BPS  Hardwood-Conifer,EVT  Developed,286
BPS  Hardwood-Conifer,EVT  Developed,16
BPS  Hardwood-Conifer,EVT  Developed,0
BPS  Hardwood-Conifer,EVT  Developed,2
BPS  Hardwood-Conifer,EVT  Agricultural,38
BPS  Hardwood-Conifer,EVT  Agricultural,536
BPS  Hardwood-Conifer,EVT  Agricultural,174
BPS  Hardwood-Conifer,EVT  Agricultural,61
BPS  Hardwood-Conifer,EVT  Agricultural,2753
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,2
BPS  Hardwood-Conifer,EVT  Riparian,68
BPS  Hardwood-Conifer,EVT  Riparian,8
BPS  Hardwood-Conifer,EVT  Riparian,10
BPS  Hardwood-Conifer,EVT  Riparian,35
BPS  Hardwood-Conifer,EVT  Riparian,10
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,115
BPS  Hardwood-Conifer,EVT  Conifer,17
BPS  Hardwood-Conifer,EVT  Hardwood,1
BPS  Hardwood-Conifer,EVT  Conifer,970
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,216
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,48
BPS  Hardwood-Conifer,EVT  Riparian,0
BPS  Hardwood-Conifer,EVT  Riparian,2
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Shrubland,4
BPS  Hardwood-Conifer,EVT  Exotic Herbaceous,156
BPS  Hardwood-Conifer,EVT  Grassland,19
BPS  Hardwood-Conifer,EVT  Shrubland,2
BPS  Hardwood-Conifer,EVT  Conifer,12
BPS  Hardwood-Conifer,EVT  Hardwood,971
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,739
BPS  Hardwood-Conifer,EVT  Hardwood,680
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,1408
BPS  Hardwood-Conifer,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,47
BPS  Hardwood-Conifer,EVT  Developed-Low Intensity,392
BPS  Hardwood-Conifer,EVT  Developed-Medium Intensity,289
BPS  Hardwood-Conifer,EVT  Developed-High Intensity,103
BPS  Hardwood-Conifer,EVT  Developed-Roads,979
BPS  Hardwood-Conifer,EVT  Hardwood,11926
BPS  Hardwood-Conifer,EVT  Hardwood,266
BPS  Hardwood-Conifer,EVT  Conifer,519
BPS  Hardwood-Conifer,EVT  Conifer,791
BPS  Hardwood-Conifer,EVT  Conifer,37
BPS  Hardwood-Conifer,EVT  Conifer,47
BPS  Hardwood-Conifer,EVT  Conifer,113
BPS  Hardwood-Conifer,EVT  Conifer,17
BPS  Hardwood-Conifer,EVT  Hardwood,1270
BPS  Hardwood-Conifer,EVT  Conifer,0
BPS  Hardwood-Conifer,EVT  Riparian,45
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,208
BPS  Hardwood-Conifer,EVT  Hardwood,237
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,287
BPS  Hardwood-Conifer,EVT  Hardwood,11
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,17
BPS  Hardwood-Conifer,EVT  Hardwood,7
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,8
BPS  Hardwood-Conifer,EVT  Developed,288
BPS  Hardwood-Conifer,EVT  Developed,62
BPS  Hardwood-Conifer,EVT  Developed,181
BPS  Hardwood-Conifer,EVT  Developed,363
BPS  Hardwood-Conifer,EVT  Developed,51
BPS  Hardwood-Conifer,EVT  Developed,345
BPS  Hardwood-Conifer,EVT  Developed,196
BPS  Hardwood-Conifer,EVT  Developed,256
BPS  Hardwood-Conifer,EVT  Developed,84
BPS  Hardwood-Conifer,EVT  Developed,374
BPS  Hardwood-Conifer,EVT  Developed,21
BPS  Hardwood-Conifer,EVT  Developed,2
BPS  Hardwood-Conifer,EVT  Developed,4
BPS  Hardwood-Conifer,EVT  Agricultural,64
BPS  Hardwood-Conifer,EVT  Agricultural,199
BPS  Hardwood-Conifer,EVT  Agricultural,259
BPS  Hardwood-Conifer,EVT  Agricultural,43
BPS  Hardwood-Conifer,EVT  Agricultural,1619
BPS  Hardwood-Conifer,EVT  Agricultural,0
BPS  Hardwood-Conifer,EVT  Riparian,3
BPS  Hardwood-Conifer,EVT  Riparian,5
BPS  Hardwood-Conifer,EVT  Riparian,29
BPS  Hardwood-Conifer,EVT  Riparian,6
BPS  Hardwood-Conifer,EVT  Riparian,3
BPS  Hardwood-Conifer,EVT  Riparian,15
BPS  Hardwood-Conifer,EVT  Riparian,3
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Riparian,12
BPS  Hardwood-Conifer,EVT  Riparian,11
BPS  Hardwood-Conifer,EVT  Conifer,12
BPS  Hardwood-Conifer,EVT  Hardwood,22
BPS  Hardwood-Conifer,EVT  Conifer,211
BPS  Hardwood-Conifer,EVT  Riparian,1
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,125
BPS  Hardwood-Conifer,EVT  Exotic Tree-Shrub,30
BPS  Hardwood-Conifer,EVT  Riparian,0
