BPS_NAME,EVT_PHYS2,ACRES
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,NaturalVeg,13005378.49
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Developed,1720905.816
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Exotics,306570.234
Laurentian-Acadian Northern Hardwoods Forest-Hemlock,OtherClearing,8346.09
Western Great Plains Floodplain Systems,Agricultural,5864181.726
Western Great Plains Floodplain Systems,NaturalVeg,10900513.24
Western Great Plains Floodplain Systems,Developed,878980.806
Western Great Plains Floodplain Systems,Exotics,1722711.12
Western Great Plains Floodplain Systems,OtherClearing,9238.086
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Agricultural,216975.696
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,NaturalVeg,16307434.91
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Developed,259437.636
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Exotics,1999375.956
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,OtherClearing,64791.588
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Agricultural,3921870.648
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,NaturalVeg,10830471.58
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Developed,2749426.044
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Exotics,821770.074
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,OtherClearing,7538.898
Southern Interior Low Plateau Dry-Mesic Oak Forest,Agricultural,5459602.266
Southern Interior Low Plateau Dry-Mesic Oak Forest,NaturalVeg,9398134.902
Southern Interior Low Plateau Dry-Mesic Oak Forest,Developed,2893331.772
Southern Interior Low Plateau Dry-Mesic Oak Forest,Exotics,468601.152
Southern Interior Low Plateau Dry-Mesic Oak Forest,OtherClearing,7088.46
Allegheny-Cumberland Dry Oak Forest and Woodland,Agricultural,2206354.104
Allegheny-Cumberland Dry Oak Forest and Woodland,NaturalVeg,13078916.21
Allegheny-Cumberland Dry Oak Forest and Woodland,Developed,2182407.408
Allegheny-Cumberland Dry Oak Forest and Woodland,Exotics,517898.916
Allegheny-Cumberland Dry Oak Forest and Woodland,OtherClearing,18922.836
Central Interior and Appalachian Riparian Systems,Agricultural,3104615.832
Central Interior and Appalachian Riparian Systems,NaturalVeg,10438138.97
Central Interior and Appalachian Riparian Systems,Developed,3392966.526
Central Interior and Appalachian Riparian Systems,Exotics,313648.482
Central Interior and Appalachian Riparian Systems,OtherClearing,5959.368
Gulf and Atlantic Coastal Plain Swamp Systems,Agricultural,3487956.552
Gulf and Atlantic Coastal Plain Swamp Systems,NaturalVeg,9965398.626
Gulf and Atlantic Coastal Plain Swamp Systems,Developed,2226226.878
Gulf and Atlantic Coastal Plain Swamp Systems,Exotics,418202.712
Gulf and Atlantic Coastal Plain Swamp Systems,OtherClearing,3629.922
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Agricultural,31511.346
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,NaturalVeg,15364434.63
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Developed,55237.596
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Exotics,23784.636
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,OtherClearing,1750.692
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Agricultural,2370991.302
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,NaturalVeg,10592598.58
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Developed,1942409.646
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Exotics,457087.122
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,OtherClearing,5273.166
Atlantic Coastal Plain Upland Longleaf Pine Woodland,Agricultural,5021558.526
Atlantic Coastal Plain Upland Longleaf Pine Woodland,NaturalVeg,6381640.86
Atlantic Coastal Plain Upland Longleaf Pine Woodland,Developed,3330215.784
Atlantic Coastal Plain Upland Longleaf Pine Woodland,Exotics,515125.914
Atlantic Coastal Plain Upland Longleaf Pine Woodland,OtherClearing,3871.68
North-Central Interior Oak Savanna,Agricultural,6742072.068
North-Central Interior Oak Savanna,NaturalVeg,5391484.23
North-Central Interior Oak Savanna,Developed,2216462.652
North-Central Interior Oak Savanna,Exotics,689892.528
North-Central Interior Oak Savanna,OtherClearing,6070.59
Columbia Plateau Steppe and Grassland,Agricultural,4649166.402
Columbia Plateau Steppe and Grassland,NaturalVeg,8124813.942
Columbia Plateau Steppe and Grassland,Developed,423329.58
Columbia Plateau Steppe and Grassland,Exotics,1492345.272
Columbia Plateau Steppe and Grassland,OtherClearing,985.902
Central Appalachian Dry Oak-Pine Forest,Agricultural,1321724.286
