GP,VDEP,Percent
Clay/Silt,9,1.715552764
Clay/Silt,19,3.823423338
Clay/Silt,21,5.495983726
Clay/Silt,24,0.111686872
Clay/Silt,27,12.24817615
Clay/Silt,30,0.006941551
Clay/Silt,31,0.174627372
Clay/Silt,33,11.77938817
Clay/Silt,34,1.818672264
Clay/Silt,38,0.037351483
Clay/Silt,39,0.659235296
Clay/Silt,43,0.008157383
Clay/Silt,44,2.758071957
Clay/Silt,45,0.146210839
Clay/Silt,47,0.261926921
Clay/Silt,48,0.156347483
Clay/Silt,50,1.258371744
Clay/Silt,52,3.958281702
Clay/Silt,53,0.001116869
Clay/Silt,54,2.380428954
Clay/Silt,57,1.787527178
Clay/Silt,58,5.468443723
Clay/Silt,59,0.076611539
Clay/Silt,60,0.005259179
Clay/Silt,61,1.498385418
Clay/Silt,62,0.358147282
Clay/Silt,63,0.107601112
Clay/Silt,65,0.096248636
Clay/Silt,66,1.613606684
Clay/Silt,67,0.193953442
Clay/Silt,68,0.550701104
Clay/Silt,70,2.82752E-05
Clay/Silt,71,0.048039492
Clay/Silt,72,0.153025152
Clay/Silt,73,0.00175306
Clay/Silt,74,0.176309744
Clay/Silt,75,0.364381954
Clay/Silt,76,0.143680212
Clay/Silt,79,6.230826792
Clay/Silt,80,0.858504468
Clay/Silt,82,11.65753638
Clay/Silt,83,0.206422787
Clay/Silt,84,12.72871245
Clay/Silt,85,1.856419599
Clay/Silt,86,0.457760661
Clay/Silt,89,0.001102731
Clay/Silt,95,3.532415418
Clay/Silt,96,0.648123159
Clay/Silt,97,0.324740183
Clay/Silt,98,0.025405229
Clay/Silt,100,0.02837412
Deep Loess,31,0.001569423
Deep Loess,33,54.78256046
Deep Loess,34,8.11771E-05
Deep Loess,38,1.00291561
Deep Loess,41,5.4118E-05
Deep Loess,43,0.389271098
Deep Loess,45,0.026517842
Deep Loess,53,2.7059E-05
Deep Loess,54,0.155616438
Deep Loess,57,0.062154575
Deep Loess,59,0.005628277
Deep Loess,63,0.002056486
Deep Loess,65,0.594730255
Deep Loess,66,0.779841028
Deep Loess,67,0.029791984
Deep Loess,71,1.22658549
Deep Loess,73,0.000865889
Deep Loess,74,0.003274142
Deep Loess,86,9.933448334
Deep Loess,95,30.89068831
Deep Loess,96,0.015964823
Deep Loess,97,0.007495349
Deep Loess,98,0.000487062
Deep Loess,100,0.088374767
Calcareous,30,3.212295362
Calcareous,33,13.30184336
Calcareous,36,0.002992335
Calcareous,38,0.026681654
Calcareous,43,1.18743E-05
Calcareous,44,2.37487E-05
Calcareous,47,0.326378252
Calcareous,50,0.574801428
Calcareous,53,0.010021947
Calcareous,54,0.22468636
Calcareous,57,1.489957213
